"Entity / Component","Category","Sub-Category","Key Characteristics & Origin","Primary Function & Mechanism","Clinical & Disease Associations","Diagnostic Markers / Lab Tests"
"Paroxysmal Nocturnal Hemoglobinuria (PNH)","Immunology","Complement Proteins","Acquired clonal stem cell disorder caused by a somatic mutation in the PIGA gene, leading to a deficiency of GPI-anchor proteins.","Loss of GPI anchors causes a complete deficiency of cell-surface complement regulators DAF (CD55) and CD59 (MIRL), leaving red blood cells highly vulnerable to uncontrolled bystander complement-mediated MAC lysis.","Intravascular hemolytic anemia, hemoglobinuria (dark morning urine), severe thrombosis (especially in atypical venous sites), and pancytopenia.","Flow cytometry analysis showing absence of CD55 and CD59 on red blood cells and granulocytes."
"MHC Class I","Immunology","Major Histocompatibility Complex","Encoded by classical HLA-A, B, and C genes. Composed of an alpha heavy chain and a non-polymorphic beta-2 microglobulin chain. Distributed on all nucleated cells.","Binds and displays endogenous peptide antigens (viral or mutated intracellular proteins processed by proteasomes) to CD8+ Cytotoxic T cells.","Crucial for viral clearance and tumor surveillance; down-regulated by many viruses to escape detection; HLA-B27 strongly associated with Ankylosing Spondylitis.","Flow cytometry for surface MHC Class I/HLA expression; DNA-based molecular HLA typing."
"MHC Class II","Immunology","Major Histocompatibility Complex","Encoded by classical HLA-DP, DQ, and DR genes. Composed of an alpha and beta heterodimer. Expressed primarily on professional Antigen Presenting Cells (APCs).","Binds and displays exogenous peptide antigens (extracellular pathogens processed via the endosomal-lysosomal pathway) to CD4+ Helper T cells.","Key mediator of CD4+ T helper cell activation and immune collaboration; HLA-DR4 associated with Rheumatoid Arthritis; HLA-DR3/DR4 associated with Type 1 Diabetes.","Flow cytometry for HLA-DP, DQ, DR; PCR-based HLA typing."
"Dendritic Cells","Immunology","Immune Cells","Originates in the bone marrow; resides as immature sentinel cells in peripheral tissues. The most potent 'professional' Antigen Presenting Cells (APCs).","Captures, processes, and displays exogenous antigens on MHC Class II (and Class I via cross-presentation). Matures and migrates to lymph nodes to express co-stimulatory molecules (B7) and activate naive T cells.","Acts as the essential bridge between innate and adaptive immunity; crucial for initiating primary adaptive immune responses and maintaining central/peripheral self-tolerance.","Flow cytometry identification using surface markers CD11c, HLA-DR, CD80, CD83, and CD86."
"Macrophages","Immunology","Immune Cells","Derived from circulating blood monocytes; differentiates into tissue-specific residents (e.g., microglia, Kupffer cells, alveolar macrophages). Activated by IFN-γ or PAMPs.","Functions as professional phagocytes that engulf and digest pathogens/debris. Acts as APCs displaying antigens on MHC Class II to effector T cells at the site of inflammation; secretes pro-inflammatory cytokines (IL-1, IL-6, TNF-α).","Primary cells involved in chronic inflammation, granuloma formation (e.g., in tuberculosis and leprosy), and the pathogenesis of septic shock (via excessive TNF-α release).","Immunohistochemical staining or flow cytometry using markers CD14, CD68, CD11b, and HLA-DR."
"Natural Killer (NK) Cells","Immunology","Immune Cells","Large granular lymphocytes originating from lymphoid progenitors but functioning as part of the innate immune system. No antigen-specific receptors.","Recognizes and destroys virus-infected and tumor cells. Employs the 'missing self' hypothesis to target cells lacking MHC Class I; also executes ADCC via Fc receptor CD16.","Involved in early defense against intracellular infections (especially herpesviruses) and cancers; defects lead to severe recurrent viral infections.","Flow cytometry markers CD3- and CD56+ / CD16+; functional NK cytotoxicity assays."
"Th1 Cell","Immunology","Immune Cells","Differentiated CD4+ T helper cell subset. Development is promoted by IL-12 and IFN-γ; driven by the T-bet transcription factor.","Drives cell-mediated immunity against intracellular pathogens. Secretes IFN-γ to strongly activate macrophages, IL-2 to promote T cell proliferation, and TNF-β to mediate localized tissue inflammation.","Orchestrates Type IV Delayed-Type Hypersensitivity reactions (e.g., Tuberculin skin test, contact dermatitis); implicated in chronic inflammatory autoimmune diseases like Crohn's disease.","Intracellular cytokine staining for IFN-γ; CD4+ T cell flow cytometry panel; positive Tuberculin (PPD) skin test."
"Th2 Cell","Immunology","Immune Cells","Differentiated CD4+ T helper cell subset. Differentiation is induced by IL-4; driven by the GATA3 transcription factor.","Promotes humoral (antibody-mediated) immunity and defense against extracellular parasites (helminths). Secretes IL-4 (induces IgE class switching), IL-5 (recruits/activates eosinophils), and IL-10 (suppresses Th1 responses).","Implicated in Type I hypersensitivity allergic reactions (asthma, eczema, anaphylaxis); genetic predisposition to atopy.","Intracellular cytokine staining for IL-4, IL-5, and IL-13; elevated serum IgE levels; peripheral blood eosinophilia."
"Th17 Cell","Immunology","Immune Cells","Differentiated CD4+ T helper cell subset. Differentiation is promoted by IL-6, TGF-β, and IL-23; driven by the RORγt transcription factor.","Recruits neutrophils and maintains mucosal/epithelial barriers against extracellular bacteria and fungi by secreting IL-17 and IL-22.","Autosomal dominant Hyper-IgE syndrome (Job's syndrome) has Th17 deficiency; overactivity is associated with psoriasis, rheumatoid arthritis, and inflammatory bowel disease.","Intracellular cytokine staining for IL-17 via flow cytometry; serum IL-17 assay."
"Regulatory T Cell (Treg)","Immunology","Immune Cells","Subclass of CD4+ T cells characterized by the expression of CD25 and the Foxp3 transcription factor. Originates in thymus (nTregs) or peripheral tissues (iTregs).","Enforces peripheral self-tolerance by active suppression of self-reactive lymphocytes. Secretes anti-inflammatory cytokines IL-10 and TGF-β; utilizes CTLA-4 to downregulate co-stimulatory molecules on APCs.","IPEX syndrome (severe autoimmune disease marked by enteropathy, dermatological lesions, and polyendocrinopathy) is caused by Foxp3 mutation. Cancers recruit Tregs to escape immune destruction.","Flow cytometry showing CD4+ CD25+ Foxp3+; Foxp3 gene analysis."
"CD8+ Cytotoxic T Cell (CTL)","Immunology","Immune Cells","Originates in the bone marrow and matures in the thymus (passing positive and negative selection). Recognizes peptide antigens presented on MHC Class I molecules.","Directly kills virus-infected, damaged, or tumor cells by inducing apoptosis. Employs the perforin/granzyme pathway (to form membrane pores and digest targets) and the Fas/FasL death receptor pathway.","Essential for viral clearance and tumor surveillance; implicated in transplant rejection (host-versus-graft disease) and Type IV cell-mediated hypersensitivity.","Flow cytometry identification using CD3+ and CD8+ surface markers; granzyme B and perforin enzyme-linked immunospot (ELISPOT) assays."
"Complement C3","Immunology","Complement Proteins","The most abundant complement protein in serum, produced mainly by the liver. Acts as the central convergence point for all three complement activation pathways.","Cleaved into C3a (anaphylatoxin that recruits mast cells/neutrophils) and C3b (binds covalently to pathogens to mediate opsonization, and forms C5 convertases to amplify the terminal pathway).","Congenital C3 deficiency leads to severe, recurrent pyogenic infections (e.g., S. pneumoniae, H. influenzae) and severe immune complex-mediated glomerulonephritis.","Serum C3 quantitative levels (using nephelometry or radial immunodiffusion); CH50 and AH50 hemolytic complement assays."
"Complement C5","Immunology","Complement Proteins","Liver-synthesized serum glycoprotein. Cleaved by C5 convertases (C4b2a3b in classical/lectin; C3b2Bb in alternative) to initiate the terminal complement cascade.","Cleaved into C5a (a highly potent anaphylatoxin and neutrophil chemoattractant) and C5b. C5b sequentially binds C6, C7, C8, and multiple C9 proteins to form the Membrane Attack Complex (MAC/C5b-9).","C5 deficiency or terminal MAC pathway defects (C5-C9) result in high susceptibility to recurrent, life-threatening Neisseria meningitidis and Neisseria gonorrhoeae infections.","Serum C5 quantitative levels; CH50 assay (decreased/absent with normal C3 and C4 indicates terminal pathway deficiency)."
"Interleukin-2 (IL-2)","Immunology","Cytokines","Produced primarily by activated CD4+ T helper (Th1) cells; acts as a crucial autocrine and paracrine T cell growth factor.","Binds to high-affinity IL-2 receptors (containing CD25) to trigger clonal expansion, proliferation, and survival of T cells, B cells, NK cells, and regulatory T cells (Tregs).","Recombinant IL-2 (Aldesleukin) is used to treat metastatic renal cell carcinoma and melanoma; targeted by immunosuppressive drugs like Cyclosporine and Tacrolimus.","Serum cytokine assays; expression of CD25 (alpha chain of IL-2R) on the surface of T lymphocytes by flow cytometry."
"Interleukin-4 (IL-4)","Immunology","Cytokines","Secreted by CD4+ Th2 cells, mast cells, and activated basophils. Classic pleiotropic cytokine.","Induces differentiation of naive CD4+ T cells into the Th2 helper phenotype. Directs B cell class-switching to IgE and IgG4, and promotes eosinophil tissue recruitment.","Key driver of atopic allergic reactions (allergic rhinitis, asthma, atopic dermatitis); targeted by Dupilumab (anti-IL-4Rα).","Serum IL-4 level by ELISA; intracellular cytokine staining on T cells."
"Interferon-gamma (IFN-γ)","Immunology","Cytokines","Type II interferon; homodimeric glycoprotein produced mainly by activated CD4+ Th1 cells, CD8+ CTLs, and Natural Killer (NK) cells.","Binds to Type II IFN receptors to activate the JAK-STAT pathway. Acts as the primary battle cytokine that activates macrophages, enhances MHC Class I and II expression on APCs, and blocks IL-4-induced IgE switching.","Recombinant IFN-γ (Actimmune) is used to treat Chronic Granulomatous Disease (CGD) by boosting macrophage bactericidal activity; crucial for tuberculosis clearance.","IFN-γ release assays (IGRA) for tuberculosis screening (e.g., QuantiFERON-TB Gold); intracellular cytokine flow cytometry."
"Tumor Necrosis Factor-alpha (TNF-α)","Immunology","Cytokines","Homotrimeric cytokine produced mainly by activated macrophages, T cells, and NK cells in response to PAMP/DAMP recognition.","Coordinates local and systemic inflammation. Induces vascular endothelium adhesion molecules, increases vascular permeability, recruits neutrophils, and triggers hepatocytes to release acute-phase proteins.","Central mediator of rheumatoid arthritis joint destruction, Crohn's disease inflammation, and septic shock; triggers cachexia (wasting syndrome) in chronic infections and malignancy.","Serum TNF-α concentration; acute-phase reactants (CRP and ESR) as surrogates."
"Selectins","Immunology","Cell Adhesion Molecules","Family of calcium-dependent carbohydrate-binding transmembrane proteins. L-selectin on leukocytes; E- and P-selectin on activated endothelial cells.","Interacts with mucin-like ligands (CD15s) to mediate the initial weak, transient 'rolling' phase of leukocyte extravasation along vessel walls.","Deficient selectin ligand expression causes Leukocyte Adhesion Deficiency Type 2 (LAD II), presenting with severe immune deficiencies, high leukocytosis, and developmental delay.","Flow cytometry evaluating CD15s (sialyl Lewis X) expression on neutrophils; genetic testing for SLC35C1 mutations."
"Integrins","Immunology","Cell Adhesion Molecules","Heterodimeric cell-surface glycoproteins composed of non-covalently associated alpha and beta subunits. Examples include LFA-1 (CD11a/CD18) and Mac-1.","Binds tightly to immunoglobulin-superfamily ligands (like ICAM-1) on endothelial cells, converting leukocyte 'rolling' into stable 'tight adhesion' during extravasation.","Loss-of-function mutation in the common beta-2 integrin chain CD18 gene causes Leukocyte Adhesion Deficiency Type 1 (LAD I), marked by recurrent infections without pus, delayed umbilical cord separation.","Flow cytometry confirming complete or partial absence of surface CD18/CD11b on peripheral blood granulocytes."
"Hapten","Immunology","Antigens","Small, non-proteinaceous chemical compound of low molecular weight (e.g., penicillin, urushiol in poison ivy). It is reactive but non-immunogenic on its own.","Binds covalently to a high-molecular-weight host carrier protein, creating a hapten-carrier complex that is recognized as foreign, stimulating antibody and T-cell responses.","Drug-induced autoimmune hemolytic anemia (Type II hypersensitivity); urushiol contact dermatitis (Type IV hypersensitivity).","Clinical diagnosis; allergen patch testing; specific IgE or drug-induced antibody screening."
"Superantigen","Immunology","Antigens","Bacterial or viral proteins (e.g., S. aureus TSST-1, S. pyogenes exotoxins) that bypass normal MHC presentation rules.","Binds directly and simultaneously to the outer face of MHC Class II molecules on APCs and the Vβ domain of T-cell receptors (TCRs), cross-linking them without processing. Activates up to 20% of all T cells.","Triggers Toxic Shock Syndrome (TSS) and food poisoning, inducing a catastrophic 'cytokine storm' (massive release of TNF-α, IL-1, IFN-γ) leading to severe fever, hypotension, and shock.","Bacterial cultures from infection sites; TSST-1 toxin detection via PCR or immunological assays; multi-organ failure screening (CMP, lactate)."
"ELISA","Immunology","Immunodiagnosis","Enzyme-Linked Immunosorbent Assay. A highly sensitive, solid-phase in vitro serological diagnostic method using microtiter plates.","Combines antibody-antigen binding specificity with enzyme-catalyzed substrate reactions (e.g., using horseradish peroxidase) to produce a quantifiable color change.","Standard screening method for HIV antibodies, food allergies (specific IgE), autoimmune disease autoantibodies (e.g., anti-dsDNA), and circulating cytokines.","Spectrophotometric reading of optical density (OD) to quantify target concentrations."
"Live Attenuated Vaccine","Immunology","Immunoprevention","Vaccines made from weakened (attenuated) live pathogens that maintain their replication capacity but lose their pathogenicity.","Replicates transiently inside host cells, delivering vaccine antigens to both MHC Class I and Class II pathways, generating highly durable humoral and cellular (memory CD8+ CTL) immunity.","Examples: Measles, Mumps, Rubella (MMR), Varicella, Oral Polio (Sabin). Contraindicated in pregnant women and immunocompromised individuals due to safety/reversion risks.","Serological antibody titer screening (post-vaccination IgG levels) confirming immunity."
