"What refers to the passage of large volumes of urine, a hallmark of untreated diabetes?",Polyuria.
Why is the Glucokinase reaction considered the 'glucose sensor' for the Beta cell?,Its reaction rate directly tracks glucose availability within the physiological range.
What is the significance of the insulin-glucagon molar ratio?,It determines the net metabolic direction (storage vs. release) of nutrients.
"In Type 2 Diabetes, what characterizes the 'Initial Compensatory Phase'?",Beta cells increase insulin secretion to compensate for peripheral resistance.
What defines the 'Pancreatic' part of the dual defect in progressive T2DM?,"Progressive Beta cell dysfunction, exhaustion, and cell death."
How does insulin affect the urea cycle in the liver?,It decreases urea cycle activity.
List four counter-regulatory hormones that increase plasma glucose.,"Glucagon, Epinephrine, Cortisol, and Growth Hormone."
At what weeks of gestation do pancreatic islets typically start to develop?,Weeks $9-11$.
What is the major mechanism of cell death for Beta cells in diabetes?,Apoptosis.
What is the approximate half-life of a pancreatic Beta cell?,$\sim 30$ days.
Identify the two ways the body generates new Beta cells.,Replication and neogenesis.
"In the pathophysiology of Type 1 DM, what happens to the liver's production of ketoacids (KA)?",It increases due to absolute insulin deficiency.
How does the glucose affinity ($K_m$) of Glucokinase compare to Hexokinase?,Glucokinase has a lower affinity ($K_m$ is higher).
What effect does insulin have on hepatic ketogenesis?,It decreases ketogenesis.
What happens to glucose uptake in muscle and adipose tissue in Type 2 DM?,It is reduced due to insulin resistance.
Which enzyme converts Free Fatty Acids (FFA) to Ketones in the absence of insulin?,Liver enzymes during gluconeogenesis/ketogenesis pathways.
What are the outcomes of 'Failed Regulation' in the diseased fuel state?,Sustained high blood glucose and inefficient fuel utilization.
